ANIMAL;Grupo;Coracao;Peso
1;1;0,4365;0,0012
2;1;0,3609;0,0012
3;1;0,4841;0,0012
4;1;0,4147;0,0012
5;1;0,4426;0,0012
6;1;0,4499;0,0012
7;1;0,4214;0,0012
8;1;0,4268;0,0012
9;2;0,4348;0,0043
10;2;0,5634;0,0043
11;2;0,4892;0,0043
12;2;0,4591;0,0043
13;2;0,3998;0,0043
14;2;0,3586;0,0043
15;2;0,4448;0,0043
16;3;0,4307;0,0011
17;3;0,4505;0,0011
18;3;0,4694;0,0011
19;3;0,4025;0,0011
20;3;0,4094;0,0011
21;3;0,3726;0,0011
22;3;0,3736;0,0011
23;3;0,3957;0,0011
24;3;0,425;0,0011
25;4;0,5775;0,0273
26;4;0,5392;0,0273
27;4;0,6876;0,0273
28;4;0,3779;0,0273
29;4;0,4634;0,0273
30;4;0,8886;0,0273
31;4;0,6295;0,0273
32;5;0,4007;0,002
33;5;0,3401;0,002
34;5;0,3921;0,002
35;5;0,4427;0,002
36;5;0,3565;0,002
37;5;0,3375;0,002
38;5;0,4369;0,002
39;5;0,4368;0,002
40;5;0,4602;0,002
41;5;0,3974;0,002
42;6;0,3748;0,0052
43;6;0,3536;0,0052
44;6;0,4066;0,0052
45;6;0,4976;0,0052
46;6;0,4581;0,0052
47;6;0,5766;0,0052
48;6;0,4189;0,0052
49;6;0,4684;0,0052
50;6;0,3416;0,0052
51;6;0,4632;0,0052
